Date,AAPL,MSFT,XOM,JNJ,JPM,AMZN,GE,FB,T
1/3/2017,0.002849227,0.00708094,0.00697975,0.0054682,0.010893604,0.005067529,0.002848093,0.015732273,0.011521298
1/4/2017,-0.001119277,-0.004474372,-0.011002284,-0.00164022,0.001844451,0.004657224,0.000315611,0.015659772,-0.005811188
1/5/2017,0.005085299,0,-0.014907086,0.010462664,-0.009204981,0.03073248,-0.005678249,0.016682079,-0.002805596
1/6/2017,0.011148409,0.008667766,-0.000564713,-0.004791977,0.000116142,0.019911561,0.002855288,0.022706605,-0.019924258
1/9/2017,0.009159481,-0.003182635,-0.016497207,-0.000172116,0.000696579,0.001168348,-0.004745386,0.012073559,-0.012584656
1/10/2017,0.001008434,-0.000319322,-0.012752759,-0.00103194,0.002900969,-0.001279876,-0.002860668,-0.004403555,0.000245046
1/11/2017,0.005373232,0.00910251,0.010240895,-0.012310612,0.007520535,0.003920085,0.003187772,0.013992747,-0.004900699
1/12/2017,-0.004175437,-0.009178641,-0.005414113,-0.000958817,-0.009646392,0.018297408,-0.00254214,0.004203402,0.009849591
1/13/2017,-0.00176097,0.001437475,0.000115836,-0.000174368,0.005334036,0.004301657,-0.000955749,0.013583896,-0.001219085
1/17/2017,0.008064523,-0.002711364,0.011696559,0.002355968,-0.036332167,-0.009080505,-0.002869823,-0.003662093,0.003662128
1/18/2017,-8.34E-05,-0.000479662,-0.012362691,-0.001480019,0.004667968,-0.002766377,-0.001279266,0.000390983,-0.007540705
1/19/2017,-0.001750178,-0.003200129,-0.017964532,-0.004359137,-0.007624565,0.001931934,-0.000640453,-0.002892394,0.004901926
1/20/2017,0.001836752,0.007062623,0.013690411,-0.000437895,0.004441674,-0.000877535,-0.021787737,-0.003998448,0.010975692
1/23/2017,0.000666674,0.003506505,-0.010711338,-0.002102391,0.000478114,0.011814467,-0.0255487,0.014877141,0.013268922
1/24/2017,-0.000916043,0.008894603,0.001412122,-0.01887451,0.012065544,0.005575386,0.00840329,0.00341272,-0.015238092
1/25/2017,0.01592065,0.002518832,0.002938083,0.009305556,0.015462611,0.017119812,0.012333425,0.016309817,0.000725388
1/26/2017,0.000492324,0.0092651,0.003046756,-0.008510696,0.008369238,0.003143982,-0.001646437,0.009887458,0.009180995
1/27/2017,8.19E-05,0.023494708,-0.001051328,0.013769649,0.002074926,-0.00402789,-0.010224233,-0.004518798,0.005745614
1/30/2017,-0.002624054,-0.009881553,-0.007601463,-0.002204971,-0.010353219,-0.00644916,-0.001666118,-0.009078507,-0.00452275
1/31/2017,-0.002302017,-0.007369796,-0.011430702,0.00106081,-0.016273394,-0.008309479,-0.008678189,-0.005038853,0.008130193
2/1/2017,0.060980632,-0.016550648,-0.011324349,-0.000176551,0.003781116,0.010771356,-0.000336688,0.022329564,-0.002371937
2/2/2017,-0.001708722,-0.006448632,0.006148961,0.003002701,-0.004237784,0.009130818,-0.000336871,-0.017938903,-0.020922552
2/3/2017,0.004279177,0.008073458,0.001078414,0.000616313,0.030618357,-0.035418774,0.000673899,0.001070009,0.001699902
2/6/2017,0.00937402,-0.000628037,-0.002753072,-0.002111899,-0.004702953,-0.00315971,-0.001346821,0.008245549,-0.004606052
2/7/2017,0.009517256,-0.00329986,-0.006481698,0.000705523,-0.000576185,0.006017514,-0.003371628,-0.001665925,0.001461197
2/8/2017,0.003877587,-0.001418843,-0.006583723,-0.000705026,-0.008763863,0.008873873,-0.004397775,0.017900494,0.002188789
2/9/2017,0.007225785,0.011367084,0.004418169,0.005996536,0.014425351,0.002012862,0.005436602,-0.000447079,0.002426616
2/10/2017,-0.002265442,-0.000936604,0.008308837,0.010168153,-0.00229368,0.007426752,0.004393387,0.000372767,0.001694578
2/13/2017,0.008855467,0.011250119,0.005816822,0.005553671,0.013218423,0.010961263,0.010767211,-0.001043289,-0.01764144
2/14/2017,0.012979375,0.003730698,-0.002168642,0.004142204,0.015995475,-0.000167375,0.007989324,-0.001491958,0.002460046
2/15/2017,0.00362903,-0.000619443,0.00410526,0.007219021,0.011500675,0.007544324,0.002311739,-0.00306316,0.009079634
2/16/2017,-0.00118079,-0.000154984,-0.010341495,0.007508525,-0.000662287,0.001708797,0.00329494,0.002997557,0.00316155
2/17/2017,0.002733804,0.001549926,-0.006561236,0.006605696,-0.003313752,0.001101703,-0.002627261,-0.002316176,0.005575798
2/21/2017,0.007220738,-0.002011786,0.001589832,0.006730686,0.008644518,0.013454501,0.00493907,0.001422916,0.006026913
2/22/2017,0.002999119,-0.002015825,-0.011723031,-0.001170082,0.000549353,-0.000969148,-0.00622543,0.017947906,-0.003354743
2/23/2017,-0.004230072,0.00403981,0.010502927,0.018239578,0.000768696,-0.003997128,-0.002326416,-0.005583265,0.008655834
2/24/2017,0.000952168,0,-0.008559429,0.015136552,-0.008778544,-0.008155472,0.005662923,0.000591024,0.009773622
2/27/2017,0.001975578,-0.006035215,0.005673408,-0.002688812,0.001106965,0.004022556,-0.008280848,0.007161858,-0.012748049
2/28/2017,0.000438413,-0.003892405,-0.002698195,-0.001552341,0.002101161,-0.004242125,-0.004342137,-0.006377912,-0.000717309
3/1/2017,0.020439206,0.015004858,0.020905125,0.013501381,0.032884491,0.009514389,0.012747481,0.013870482,0.005982407
3/2/2017,-0.005937396,-0.01432096,0.003372814,-0.001856978,-0.015598342,-0.004888221,0,-0.004802816,0.00071348
3/3/2017,0.005900913,0.003749348,-0.010084178,0.001294258,0.007163011,0.001142679,-0.002318607,0.002997975,-0.001426217
3/6/2017,-0.003147718,0.000311272,0.004487109,-0.000646292,-0.009482708,-0.003847626,-0.003984076,0.001822556,-0.001190166
3/7/2017,0.001291827,0.002022726,-0.003742764,0.000970103,-0.005548345,-0.000696856,-0.004666618,-0.000873199,-0.001906599
3/8/2017,-0.003727064,0.009161413,-0.018056117,0.002180374,-0.002187874,0.005295359,-0.002009504,0.00305898,-0.002626422
3/9/2017,-0.002302278,-0.004000366,0.007898274,0.014907234,0.003946843,0.002939447,-0.004697903,0.003775806,0.004069899
3/10/2017,0.003316986,0.003089621,-0.000734589,0.002064455,-0.003166989,-0.000633034,0.020903539,0.003978501,0.009775751
3/13/2017,0.000431223,-0.003388274,-0.002328265,0.003723858,0.000876497,0.002498657,-0.013870465,0.005836249,0.000472353
3/14/2017,-0.001508594,-0.004636015,-0.005281256,0.002920775,0.001641913,-0.00241051,-0.010716768,-0.002005723,-0.006608536
3/15/2017,0.010576458,0.005278637,0.012470715,0.015033493,0.002404048,0.000516043,0.007447511,0.002871045,0.01187926
3/16/2017,0.001637302,-0.001698878,0.000853648,-0.003877115,-0.000981134,0.000527582,-0.000336025,0.001932465,-0.003521947
3/17/2017,-0.004975501,0.003558212,-0.00085292,-0.003113938,-0.010475718,-0.001300632,0.00436973,-0.001071569,0.004005648
3/20/2017,0.0105009,0.000924922,0,7.82E-05,-0.007168152,0.005467463,-0.004685429,0.000715146,-0.004459039
3/21/2017,-0.011452111,-0.011088859,-0.00207315,-0.006402785,-0.029323584,-0.016068193,-0.011768627,-0.010218715,-0.008014999
3/22/2017,0.011298588,0.012770546,-0.000855332,-0.00778003,0.001601969,0.00576374,0.004763546,0.007797278,-0.010218612
3/23/2017,-0.003535493,-0.002460355,0.001222993,-0.002851271,-0.001599406,-0.000801822,0.003047749,-0.000429809,0
3/24/2017,-0.001987018,0.001695736,-0.007696057,-0.003335953,-0.001144218,-0.002088815,0.003376102,0.005805182,0.00072016
3/27/2017,0.001706633,0.00184654,0.000246164,0.002550172,-0.000572846,0.001430946,-0.009421271,-0.000142433,-0.004558357
3/28/2017,0.020726747,0.00291867,0.007261541,-0.001112743,0.01558923,0.010840548,0.006114132,0.010262172,0.001687201
3/29/2017,0.002225323,0.002757152,0.002199469,-0.005889087,-0.003724742,0.021401877,0.002025682,0.00627821,-0.002646846
3/30/2017,-0.001318352,0.003665689,0.020482713,-0.002081223,0.008610054,0.00231039,0.006401657,-0.00168237,0.007478825
3/31/2017,-0.00187579,0.002282692,-0.020191129,-0.000882416,-0.013366435,0.011639262,-0.002343585,-0.002527919,-0.005028726
4/3/2017,0.000278477,-0.004706965,0.000731632,0.001124034,-0.003642848,0.0056061,0.002684561,0.00161912,0.000481448
4/4/2017,0.00744602,0.002746107,0.003655411,-8.03E-05,0.003332515,0.017184335,0.004685429,-0.003865638,0.00288654
4/5/2017,-0.005180679,-0.002586556,0.00194256,0.00096249,-0.012827775,0.002701732,-0.001665645,0.000846751,-0.00431765
4/6/2017,-0.002499599,0.002593264,0.005816016,0.002003275,0.003364713,-0.012097483,-0.001334511,-0.004793852,-0.010238783
4/7/2017,-0.002227597,-0.000760666,-0.003011729,-0.001039685,-0.003469037,-0.003785038,0.002004563,-0.00276262,-0.000246393
4/10/2017,-0.001185924,-0.002283983,0.004470743,-0.004642958,-0.003481113,0.013588384,0.000666966,0.001846811,-0.005173574
4/11/2017,-0.010756362,-0.000762988,-0.003488532,-0.000964998,-0.001746625,-0.005159633,0.00099961,-0.007940975,-0.00173345
4/12/2017,0.001200242,-0.003817913,0.001569294,0.00949921,-0.003849347,-0.006793303,-0.008988019,-0.002429931,0.006201809
4/13/2017,-0.005289081,-0.004292572,-0.015427184,-0.003269557,-0.011709521,-0.012898472,-0.007054025,-0.001361248,-0.006903362
4/17/2017,0.005529846,0.008160145,-0.001346531,0.005840452,0.017298509,0.01957793,0.002706392,0.014563448,0.000496468
4/18/2017,-0.004441974,-0.001374404,-0.006496678,-0.03102126,-0.008152795,0.001984544,0.006747578,-0.003252659,-0.001240567
4/19/2017,-0.003682605,-0.005352472,-0.006909419,-0.003693975,-0.008219821,-0.005067624,0.005361993,0.009293395,0
4/20/2017,0.012510537,0.007072406,0.006460366,0.004119642,0.0129056,0.003180589,0.008999864,0.010754192,0.002732957
4/21/2017,-0.00119331,0.013740566,-0.003950061,-0.000902618,-0.012039878,-0.003913231,-0.023785866,-0.000834562,-0.010654174
4/24/2017,0.009629349,0.017018035,0.00520513,0.009280478,0.035258039,0.009882746,0,0.012458297,0.002253935
4/25/2017,0.006196075,0.005775146,0.007644059,0.004394238,0.008685742,0.000231452,-0.00338403,0.007011782,-0.001999007
4/26/2017,-0.005881119,-0.001324909,-0.004037884,0.000648177,0.0019261,0.001839958,-0.006451653,0.000477801,0.012518759
4/27/2017,0.000765732,0.006486719,-0.001719778,0.001862173,-0.009272858,0.009996841,-0.006151674,0.007778378,-0.013105745
4/28/2017,-0.000973842,0.002782967,0.004799419,-0.002182026,-0.006962794,0.00719744,-0.003094982,0.017264746,-0.007015898
5/1/2017,0.020396894,0.013876799,0.005021392,-0.001052857,0.000689696,0.025124585,-0.001724682,0.014708865,-0.01337372
5/2/2017,0.006344624,-0.001584644,-0.000121824,0.002918715,-0.006432387,-0.001360406,0.001727661,0.002098859,-0.003836266
5/3/2017,-0.003050544,-0.003174789,0.007921825,-0.00299108,0.005780348,-0.006241127,0.008278671,-0.006414426,-0.014120622
5/4/2017,-0.003604059,-0.003908457,-0.012817303,0.005027139,0.001149465,-0.003719329,-0.001026284,-0.006258215,-0.010156407
5/5/2017,0.016583807,0.002761246,0.004654629,-0.003549751,-0.001148146,-0.003605223,0.00068494,-0.004043759,0.01447005
5/8/2017,0.027188355,-0.000869458,0.010607039,-0.002105173,0.001149465,0.015939575,-0.00513353,0.005457887,0.000259212
5/9/2017,0.006404908,0.00145051,-0.006997266,-0.000324533,-0.004018369,0.003983003,-0.004815983,-0.003839547,-0.009074362
5/10/2017,-0.004740649,0.003910602,0.004537846,-0.003246491,0.007838751,-0.004061622,-0.007950175,-0.001262646,0.006017719
5/11/2017,0.008648385,-0.012263762,0.008545869,0.003175629,-0.003088278,-0.001401567,0.005923415,-0.001663451,-0.000260035
5/12/2017,0.013965606,-0.001168491,-0.000726278,0.003571419,-0.002753624,0.01448891,-0.020782811,0.001932878,0.001300918
5/15/2017,-0.002562589,0.000731202,0.003028539,0.027094784,0.004832043,-0.003515894,-0.003183587,-0.000931284,0.002598024
5/16/2017,-0.001477117,0.020135377,-0.003019395,0.006142264,0.003091461,0.008455417,-0.004968047,-0.002729895,-0.010365519
5/17/2017,-0.033575571,-0.027805854,-0.006783771,-0.008609298,-0.03812366,-0.02205844,-0.02246798,-0.032914895,-0.019114968
5/18/2017,0.015241152,0.003408364,-0.002927168,0.002368427,-0.003678568,0.01453277,0.002553805,0.019399364,0.013080727
5/19/2017,0.003408996,-0.000295332,0.002201856,0.000236248,0.009766542,0.001408504,0.020742376,0.002708885,0.007641627
5/22/2017,0.006076056,0.011227568,0.004393924,0.002047322,-0.000943606,0.011283084,0.004634635,0.001215771,0.000261381
5/23/2017,-0.001233799,0.003360183,0.003524101,0.002043018,0.012514814,0.000896283,0.003548584,-0.001146775,0.001568775
5/24/2017,-0.002991039,0.001310452,-0.003511725,-7.84E-05,-0.000582995,0.009068076,-0.015912309,0.013304423,-0.004176441
5/25/2017,0.003456347,0.012360099,-0.006562109,0.006789219,-0.004200278,0.013291201,-0.012217101,0.012796681,0.002096883
5/26/2017,-0.001689617,0.004883482,-0.002446546,-0.004783096,0.000117233,0.002416018,-0.001455129,0.001118702,-0.002877361
5/30/2017,0.000390511,0.006432392,-0.005518033,0.001496934,-0.017104057,0.000923882,-0.003278614,0.001643331,0.011280126
5/31/2017,-0.005921649,-0.008095551,-0.007398196,0.008968614,-0.02085815,-0.002086904,0.000730965,-0.006037524,-0.000518667
6/1/2017,0.002749378,0.003722801,0.002484356,0.004132594,0.011077254,0.001337211,0.012417781,0.000462115,0.008824179
6/2/2017,0.014819122,0.023680546,-0.014869925,0.010094782,-0.0050566,0.010823804,0.005772149,0.013726668,0
6/5/2017,-0.009778044,0.007246373,0.00779881,0.002152544,0.001815202,0.004579229,0.003586694,0.000130226,-0.001543458
6/6/2017,0.003378212,0.003320244,0.01360457,0.003605415,0.002053359,-0.008246511,-0.001786938,-0.005337545,-0.002061331
6/7/2017,0.0059566,-0.001792437,-0.003693993,-0.000611591,0.011451344,0.00704886,-0.008950943,0.002028643,0.000774519
6/8/2017,-0.002445773,-0.006078243,-0.003584309,-0.001529548,0.012394063,0.000198019,-0.003251521,0.010384091,-0.006707934
6/9/2017,-0.038776694,-0.022654568,0.018729811,0.007506546,0.023661076,-0.031635129,0.012685793,-0.033029544,0.007532461
6/12/2017,-0.023895946,-0.007679249,0.009740654,0.002204947,0.00022995,-0.013697115,0.035791069,-0.007754037,0.007218391
6/13/2017,0.008045707,0.012467785,0.000361781,0.001517256,0.003334059,0.016457499,-0.016931566,0.015090211,-0.009982131
6/14/2017,-0.00975501,-0.0053787,-0.010728151,0.005681056,-0.002062604,-0.00440462,0.008435842,-0.002853683,0.001034223
6/15/2017,-0.005993488,-0.005265393,0.002315183,0.002033517,-0.005970795,-0.012596381,0.017223127,-0.002994988,0.003099089
6/16/2017,-0.013999478,0.001430743,0.014952568,0.009846574,-0.00450493,0.024414823,0.002073297,0.00560745,0.003089702
6/19/2017,0.028607525,0.012428468,-0.008743511,-0.002084138,0.021930868,0.007552785,-0.006896609,0.014803479,-0.001283448
6/20/2017,-0.009088459,-0.013545869,-0.005437443,0.001118932,-0.006245191,-0.002592478,-0.023263911,-0.004055701,-0.006425087
6/21/2017,0.005930594,0.005149378,-0.010569734,0.005140658,-0.004570276,0.009711918,-0.012442182,0.010903146,-0.013191867
6/22/2017,-0.00164513,-0.000142178,-0.004420462,0.008450142,-0.00114787,-0.000927923,-0.008279309,-0.00331369,-0.001310617
6/23/2017,0.00446325,0.013521159,0.006536714,0.002792957,-0.001838738,0.002436834,0.000725918,0.010886656,-0.003937037
6/26/2017,-0.003144485,-0.009549198,-0.004533764,-0.000659423,0.004374964,-0.009723644,0.001450969,-0.009544147,0.005270122
6/27/2017,-0.014332872,-0.018715496,-0.001600221,-0.009755139,0.009284733,-0.017304122,-0.014487698,-0.019597591,-0.011795549
6/28/2017,0.014610669,0.008524848,0.005178156,-0.00881414,0.02010216,0.013872098,-0.004777577,0.017665048,0.006365957
6/29/2017,-0.014743237,-0.018767979,-0.010180319,-0.008817933,0.014807367,-0.014540632,-0.002215627,-0.014356643,-0.008434397
6/30/2017,0.002366506,0.006424354,0.000371778,-0.002638757,0.002742783,-0.008125576,-0.000370078,-0.000397226,0.002924017
